candidate_id,group_key,group_label,group_a,group_b,metric,metric_label,classification_cutoff,accuracy_pp,fairness_disparity_pp,group_a_n,group_b_n,group_a_positive_n,group_b_positive_n,group_a_negative_n,group_b_negative_n,group_a_tp,group_a_fp,group_a_tn,group_a_fn,group_b_tp,group_b_fp,group_b_tn,group_b_fn,group_a_selection_rate,group_b_selection_rate,group_a_tpr,group_b_tpr,group_a_fpr,group_b_fpr,point_valid,invalid_reason
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.89,41.5000,11.3480,55,145,35,105,20,40,3,1,19,32,24,3,37,81,0.072727,0.186207,0.085714,0.228571,0.050000,0.075000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.90,39.0000,6.5204,55,145,35,105,20,40,3,1,19,32,18,2,38,87,0.072727,0.137931,0.085714,0.171429,0.050000,0.050000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.91,36.5000,3.0721,55,145,35,105,20,40,3,1,19,32,13,2,38,92,0.072727,0.103448,0.085714,0.123810,0.050000,0.050000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.92,33.5000,1.1912,55,145,35,105,20,40,1,1,19,34,7,0,40,98,0.036364,0.048276,0.028571,0.066667,0.050000,0.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.93,32.0000,0.8777,55,145,35,105,20,40,1,1,19,34,4,0,40,101,0.036364,0.027586,0.028571,0.038095,0.050000,0.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.94,31.0000,1.3793,55,145,35,105,20,40,0,0,20,35,2,0,40,103,0.000000,0.013793,0.000000,0.019048,0.000000,0.000000,true,
C01,dataset_coded_sex,Dataset-coded Sex,Female,Male,demographic_parity,Demographic Parity,0.95,30.5000,0.6897,55,145,35,105,20,40,0,0,20,35,1,0,40,104,0.000000,0.006897,0.000000,0.009524,0.000000,0.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.05,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.06,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.07,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.08,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.09,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.10,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.11,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
